best,threshold,entropy
653,653,653,548
653,653,653,548
654,654,654,549
655,655,655,550
656,656,656,551
656,656,656,551
657,657,657,552
657,657,657,552
657,657,657,552
657,657,657,552
658,658,658,553
659,659,659,554
659,659,659,554
659,659,659,554
661,661,661,556
661,661,661,556
662,662,662,557
662,662,662,557
664,664,664,557
665,665,665,558
665,665,665,558
665,665,665,558
665,665,665,558
665,665,665,558
666,666,666,559
666,666,666,559
667,667,667,560
667,667,667,560
667,667,667,560
667,667,667,560
667,667,667,560
667,667,667,560
668,668,668,561
668,668,668,561
668,668,668,561
668,668,668,561
668,668,668,561
668,668,668,561
668,668,668,561
668,668,668,561
669,669,669,562
669,669,669,562
672,672,672,565
672,672,672,565
672,672,672,565
672,672,672,565
674,674,674,566
675,675,675,567
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
676,676,676,568
677,677,677,569
677,677,677,569
678,678,678,570
678,678,678,570
678,678,678,570
678,678,678,570
679,679,679,571
679,679,679,571
679,679,679,571
